Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Boligtype,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Beskrivelse,Eiendomsmegler,Faciliteter
"SKIPARVIKLIA 11, 5221 Nesttun",5 500 000 kr,24 000 kr,5 524 000 kr,2 500 kr,-1,Leilighet,Eier (Selveier),2,69 m²,72 m²,3,2021,A,Ny Leilighet ved Nordåsvannet med solrik sydvest beliggenhet,-1,
"Bjørnsons gate 28 B, 5059 Bergen",890 000 kr,549 927 kr,12 744 kr,1 452 671 kr,4 343 kr,Leilighet,Aksje,18 m²,18 m²,4,1933,477 m² (eiet),-1,"Kronstad - Lekker, nyoppusset studioleilighet. Rett ved HVL, butikk og Bybanen.",-1,
"Nygårdsgaten 68, 5008 Bergen",3 190 000 kr,8 032 kr,3 198 032 kr,2 471 kr,-1,Leilighet,Andel,2,42 m²,45 m²,5,1890,-1,"Rålekker toppleilighet med egen hems. Fasade (2014), taktekking (2018) og innvendige kvaliteter oppgradert (2019)",PrivatMegleren Vikebø & Jørgensen,-1
"Dag Hammarskjölds vei 55, 5144 Fyllingsdalen",2 550 000 kr,444 207 kr,8 032 kr,3 002 239 kr,5 230 kr,Leilighet,Andel,2,67 m²,70 m²,4,1966,G - rød,"Flott 3-roms toppleilighet med egen garasje- vestvendt balkong på 12,8 m² - Ingen dok.avgift eller forkjøpsrett",Nordvik Bergen,
"Grønnegata 7, 0350 Oslo",4 800 000 kr,93 880 kr,131 962 kr,5 025 842 kr,2 715 kr,Leilighet,Eier (Selveier),1,43 m²,43 m²,6,1975,E - rød,"HOMANSBYEN - Tiltalende 2-roms selveierleilighet - Solrik balkong - Garasjeplass - Heis - Sentral, men rolig beliggenhet",Nordvik Bygdøy Allé,
"Trollringen 96C, 9016 Tromsø",4 070 000 kr,73 401 kr,110 320 kr,4 253 721 kr,5 019 kr,Leilighet,Eier (Selveier),2,72 m²,76 m²,3,1995,-1,Stilfull og moderne 3-roms toppetasje med garasje i et av Tromsøs mest populære områder.,GARANTI Eiendomsmegling Tromsø,
"Laboratorieveien 10, 3077 Sande i Vestfold",4 150 000 kr,11 996 kr,105 440 kr,4 267 436 kr,2 061 kr,Leilighet,Eier (Selveier),2,64 m²,67 m²,3,2010,D - mørkegrønn,Meget pen hjørneleilighet med flott sjøutsikt|2 Balkonger|Solrikt|2 soverom|God intern beliggenhet|Garasje,EiendomsMegler 1 Drammen,
"Storestraumen 220, 5212 Søfteland",2 090 000 kr,2 769 kr,63 842 kr,2 156 611 kr,1 431 kr,Leilighet,Eier (Selveier),1,40 m²,45 m²,1,2015,D - mørkegrønn,Søfteland | Moderne 2-roms leilighet- parkering i garasje - populær beliggenhet i Storestraumen - endeleilighet,PrivatMegleren Vikøyr & Brandt,-1
"Bjørkelivegen 11A, 4708 Vennesla",1 995 000 kr,58 312 kr,2 053 312 kr,600 kr,10 027 kr per år,Leilighet,Eier (Selveier),2,63 m²,68 m²,1,2014,-1,Vennesla/Vikeland - Flott 3-roms endeleilighet - solrikt uteområde - Carport - Barnevennlig,-1,-1
"Schultz gate 8, 7013 Trondheim",3 190 000 kr,21 472 kr,81 440 kr,3 292 912 kr,2 206 kr,Leilighet,Eier (Selveier),1,36 m²,36 m²,2,1902,F - rød,Pen & sjarmerende 2-roms selveier i hjertet av sentrum | Kjøkken & bad (2007) TG1 | Balkong & takterrasse | Heis!,EiendomsMegler 1 avd. Trondheim Sentrum,
"Vetlandsveien 61A, 0685 Oslo",3 590 000 kr,30 900 kr,15 526 kr,3 636 426 kr,3 597 kr,Leilighet,Andel,1,56 m²,56 m²,4,1959,G - mørkegrønn,"Lys og moderne 2-roms med solrik, vestvendt balkong. Kort vei til alt! V.vann og fyring inkl.",Aktiv Lørenskog,-1
"Julianus Holms veg 58, 7041 Trondheim",2 990 000 kr,75 920 kr,3 065 920 kr,1 755 kr,5 500 kr per år,Leilighet,Eier (Selveier),1,45 m²,49 m²,3,2016,B - mørkegrønn,Lekker & moderne 2-roms selveier i 3.etg | Byggeår 2016 | Kjøkken & bad TG0 | Balkong | Heis | Lave felleskost | Bod,EiendomsMegler 1 avd. Trondheim Sentrum,
"Rådhusvegen 31, 7224 Melhus",2 790 000 kr,300 000 kr,3 090 000 kr,5 979 kr,-1,Leilighet,Andel,2,65 m²,69 m²,2,2003,D - rød,MELHUS SENTRUM - Flott 3-roms leilighet med gangavstand til alle tilbud i sentrum. Vesentlig oppusset. Bl.a nytt bad,EiendomsMegler 1 avd. Melhus,-1
"Uelands gate 38, 0457 Oslo",7 700 000 kr,248 082 kr,8 060 kr,7 956 142 kr,5 950 kr,Leilighet,Andel,2,101 m²,101 m²,3,1927,G - oransje,Delikat og gjennomgående toppleilighet o/ to plan med vestvendt balkong og peis - Sentral beliggenhet,PrivatMegleren Allé,
"Ødegårds vei - Hus CDE - Leilighetsnr. E063, 1470 Lørenskog",3 500 000 kr,-1,-1,-1,-1,38 m²,39 m²,1,2,Leilighet,Eier (Selveier),1,-1,Attraktiv og sentral 2-roms selveier med moderne standard og vestvendt balkong på ca. 7 m². Heis. Fells takterrasse.,PrivatMegleren Soria Moria,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Hellaveien 29F, 2013 Skjetten",3 250 000 kr,55 000 kr,8 010 kr,3 313 010 kr,4 156 kr,Leilighet,Andel,3,77 m²,77 m²,2,1961,F - rød,Lys og tiltalende 4-roms med populær beliggenhet! Solrik & stor balkong på 16 m2. Meget pent kjøkken. 3 soverom.,EIE eiendomsmegling Lillestrøm,
"Olav Trygvasons vei 6A, 4633 Kristiansand S",1 850 000 kr,554 165 kr,15 353 kr,2 419 518 kr,6 792 kr,Leilighet,Andel,2,75 m²,98 m²,4,1966,G - rød,Flott 3- roms toppleilighet med innglasset balkong og god standard I Nydelig fjordutsikt I Bynær beliggenhet,-1,-1
"Kalbakkveien 5C, 0953 Oslo",3 480 000 kr,139 000 kr,15 554 kr,3 634 554 kr,3 981 kr,Leilighet,Andel,2,64 m²,75 m²,1,1955,E - lysegrønn,"Innflytningsklar 3 roms i høy 1. etasje. 9 kvm innglasset balkong. Fyring inkl. Kort vei til t-bane, buss og butikker.",-1,
"Bevervegen 20, 4707 Vennesla",1 790 000 kr,52 622 kr,1 842 622 kr,1 400 kr,7 650 kr per år,Leilighet,Eier (Selveier),2,63 m²,66 m²,3,2009,-1,Heptekjerr | Smakfull 3-roms toppleilighet | Vestvendt balkong med kveldssol | Fast p-plass og sportsbod,-1,
"Anne Ekrens veg 5, 7080 Heimdal",2 790 000 kr,70 920 kr,2 860 920 kr,1 896 kr,9 204 kr per år,Leilighet,Eier (Selveier),1,44 m²,44 m²,1,2020,C - mørkegrønn,Strøken og moderne 2-roms fra 2020 i Heimdal Atrium | Fin beliggenhet | Parkeringsplass i oppvarmet p-kjeller | Heis,EiendomsMegler 1 avd. Trondheim Syd/Heimdal,
"Hesselbergs gate 8 C, 0555 Oslo",4 000 000 kr,259 032 kr,8 032 kr,4 267 064 kr,3 855 kr,Leilighet,Andel,1,50 m²,50 m²,4,1898,G - rød,Innbydende 2-roms toppleilighet i indre gård. Meget stille & rolig beliggenhet. Flott bakgård - ingen dok.avgift,Aktiv Grünerløkka,
"Birch-Reichenwalds gate 27 B, 0483 Oslo",4 700 000 kr,91 751 kr,15 981 kr,4 807 732 kr,3 742 kr,Leilighet,Andel,1,58 m²,58 m²,5,1953,F - lysegrønn,"Moderne, lys og gjennomgående 2(3)-roms topp- og endeleilighet. Balkong på 6m². 5. etasje. Fantastisk utsikt!",Aktiv Grünerløkka,
"Rosenlundgata 6 A, 0474 Oslo",3 700 000 kr,69 599 kr,19 520 kr,3 789 119 kr,2 907 kr,Leilighet,Aksje,1,43 m²,43 m²,1,1932,D - rød,Attraktiv og lys 2-roms med åpen stue- og kjøkkenløsning. Sentral beliggenhet. Perfekt førsteganskjøp. Varmtvann inkl.,Aktiv Grünerløkka,
"Ødegårds vei 20, 1470 Lørenskog",6 450 000 kr,-1,-1,-1,-1,82 m²,84 m²,3,4,7.,Leilighet,Eier (Selveier),-1,"Snølia - Ny 4-r. To bad, vestvendt balkong. Solrikt og usjenert. Heis, p-plass.",Selvaag Bolig AS,-1
"Zetlitz' gate 10, 5006 Bergen",3 190 000 kr,91 292 kr,3 281 292 kr,1 040 kr,9 362 kr per år,Leilighet,Eier (Selveier),1,45 m²,45 m²,4,1910,G - rød,Lekker toppleilighet oppusset i nyere tid. Gulvareal på 54 kvm. Gangavstand til studieinstitusjoner og byens fasiliteter,PrivatMegleren Vikebø & Jørgensen,
"Skagetjernvegen 9, 5258 Blomsterdalen",3 290 000 kr,93 792 kr,3 383 792 kr,1 857 kr,14 800 kr per år,Leilighet,Eier (Selveier),3,76 m²,79 m²,1,2012,D - rød,Lys og attraktiv 4-roms leilighet med solrik uteplass og parkering i garasje. Lekeplass like ved.,PrivatMegleren Vikebø & Jørgensen,
"Boganesveien 1E, 4020 Stavanger",3 090 000 kr,361 531 kr,8 454 kr,3 459 985 kr,3 122 kr,Leilighet,Andel,3,88 m²,88 m²,1,1986,F - rød,Flott og modernisert leilighet med 3 soverom og parkering m/ el-bil lader. Solrik og skjermet hage. Egen inngang.,EiendomsMegler 1 Mariero,
"Strømshauggata 2D, 3300 Hokksund",2 890 000 kr,73 670 kr,2 963 670 kr,1 000 kr,2 030 kr per år,Leilighet,Eier (Selveier),2,70 m²,74 m²,2,2004,G - rød,Nymalt og innbydende 3-roms eierleilighet- svært sentral beliggenhet - garasje - hyggelig balkong,EiendomsMegler 1 Nedre Eiker,
"Elveveien 10 B, 8009 Bodø",3 700 000 kr,93 670 kr,3 793 670 kr,1 217 kr,12 990 kr per år,Leilighet,Eier (Selveier),3,88 m²,93 m²,3,1958,G - oransje,Innbydende og stilren 4-roms toppleilighet med beliggenhet i populære Rønvika!,-1,-1
"Kristian Bakkens veg 15 A, 2316 Hamar",1 850 000 kr,330 000 kr,15 554 kr,2 195 554 kr,4 524 kr,Leilighet,Andel,1,55 m²,71 m²,3,1973,D - lysegrønn,"Lys og trivelig 2-roms i 3.etasje med sydvestvendt innglasset balkong, heis og garasje. A-konto fyring inkl.",-1,
"Villaveien 20A, 1385 Asker",6 750 000 kr,170 092 kr,6 920 092 kr,5 102 kr,-1,Leilighet,Eier (Selveier),3,124 m²,140 m²,2,1966,D - mørkegrønn,"Rålekker rekkehusleil. på to plan fra 2017| God takhøyde | Vestvendt terrasse | Privat hage | 3 sov, 2 bad | 2 p-plasser",-1,
"Nordre Hallsetveg 88F, 7023 Trondheim",2 690 000 kr,163 629 kr,5 432 kr,2 859 061 kr,4 295 kr,Leilighet,Andel,2,63 m²,63 m²,1,1955,G - oransje,"Trivelig 3-roms leilighet i en høy 1.etg med herlig vestvendt balkong, pent kjøkken og vedovn. Rolig, men sentralt.",Proaktiv Trondheim,-1
"Roselundveien 67A, 1820 Spydeberg",2 890 000 kr,88 814 kr,2 978 814 kr,2 624 kr,-1,Leilighet,Eier (Selveier),2,56 m²,59 m²,3,2018,-1,Pen og moderne leilighet med 2 soverom beliggende i 3. etg. Heis og garasje.,Aktiv Askim,
"Uranus vei 6B, 3226 Sandefjord",2 490 000 kr,63 592 kr,2 553 592 kr,1 000 kr,6 971 kr per år,Leilighet,Eier (Selveier),2,69 m²,69 m²,1991,E - rød,-1,Flytt rett inn i en lekker og oppgradert leilighet på bakkeplan med garasje. Nytt bad!,-1,
"Haldenveien 94, 1367 Snarøya",24 800 000 kr,631 542 kr,25 431 542 kr,2 004 kr,3 988 kr per år,Leilighet,Eier (Selveier),3,274 m²,297 m²,1,1968,-1,"Stor, sjønær selveierleil. med fantastisk sjøutsikt - Morgenbadet rett ved - 2 Peiser - 1 garasjeplass/1 utv.p.pl.",Sem & Johnsen,
"Nils Paulsens veg 31E, 2072 Dal",2 600 000 kr,76 542 kr,2 676 542 kr,1 500 kr,11 588 kr per år,Leilighet,Eier (Selveier),2,66 m²,71 m²,2,2004,-1,"Dal: Trivelig endeleilighet i 2. etg med sentral beliggenhet - 2 soverom - parkering - kort vei til bhg, skole og tog!",Aktiv Råholt,-1
"Hekkveien 1, 0571 Oslo",5 400 000 kr,442 228 kr,19 520 kr,5 861 748 kr,5 506 kr,Leilighet,Aksje,3,72 m²,72 m²,1,1955,G - mørkegrønn,"Lekker 4-roms m/sydvendt balkong på ca. 5,5 m². Akonto brensel inkl. i felleskostn. Mulighet for garasje/parkering*",Aktiv Carl Berner,
"Innherredsveien 2C, 7042 Trondheim",4 290 000 kr,115 320 kr,4 405 320 kr,3 829 kr,10 524 kr per år,Leilighet,Eier (Selveier),2,63 m²,63 m²,4,2003,D - mørkegrønn,Lekker 3-roms selveier på Solsiden | Deilig balkong | P-plass i kjeller | Innflyttningsklar | Heisadkomst,"Heimdal Eiendomsmegling AS, avd Høyskoleparken",-1
"Vestliveien 29 A, 1415 Oppegård",4 475 000 kr,123 440 kr,4 598 440 kr,1 200 kr,10 532 kr per år,Leilighet,Eier (Selveier),2,103 m²,111 m²,1991,D - oransje,-1,"Stor, luftig og innholdsrik selveierleilighet over 2 plan - Vestvendt veranda på 25 kvm - Dobbelgarasje - Mye potensial!",PrivatMegleren Kvadrat,-1
"PEDER FALCKS VEG 8, 7044 Trondheim",3 790 000 kr,103 320 kr,3 893 320 kr,2 403 kr,13 400 kr per år,Leilighet,Eier (Selveier),2,63 m²,63 m²,3,2016,C - mørkegrønn,"LEKKER 3-ROMS SELVEIER I 3. ETG MED SOLRIK VERANDA. Ny 2016, TG1 på alt. P-kjeller og heis. Fjernvarme. Sentralt.",Meglerhuset Nylander avd Lilleby,
"Sars' gate 31G, 0562 Oslo",4 190 000 kr,269 287 kr,19 520 kr,4 478 807 kr,5 245 kr,Leilighet,Aksje,1,54 m²,54 m²,4,1940,F - mørkegrønn,"Lys og gjennomgående 2(3)-roms med solrik, sørvendt balkong. Utsikt over Botanisk hage. V.vann og fyring ink. Heis",Nordvik Majorstuen,
"Myrdalskogen 5, 5118 Ulset",2 600 000 kr,551 512 kr,1 632 kr,3 153 144 kr,6 063 kr,Leilighet,Andel,3,84 m²,84 m²,3,1972,E - rød,Lys og fin 4-roms leilighet med vestvendt beliggenhet. Nytt bad/vaskerom i 2021. Butikk og buss like ved.,-1,
"Trondheimsveien 197C, 0570 Oslo",3 600 000 kr,91 342 kr,3 691 342 kr,2 343 kr,-1,Leilighet,Eier (Selveier),1,49 m²,49 m²,3,2003,D - rød,Selveid 2-roms hjørneleilighet i luftige 3. etg i Sinsen Panorama! Heis - Garasjeleie - Felles takterrasse- Utleie,-1,
"Maren Stagrims vei 5C, 1930 Aurskog",2 390 000 kr,496 kr,61 092 kr,2 451 588 kr,950 kr,Leilighet,Eier (Selveier),2,67 m²,70 m²,2,2006,C - oransje,"Pen 3-roms selveierleilighet i andre etasje på veletablert boligfelt. Sydvestvendt balkong, garasje og parkeringsplass!",-1,
"Kvistadbakkan 64 B, 7670 Inderøy",1 790 000 kr,45 920 kr,1 835 920 kr,1 500 kr,5 736 kr per år,Leilighet,Eier (Selveier),3,85 m²,88 m²,1,1992,E - gul,STOR LEILIGHET PÅ 85 KVM MED FANTASTISK UTSIKT | 3 sov | Gode solforhold | Attraktivt boligfelt |God parkeringsplass,Eiendomsmegler 1 avd. Verdal,-1
"Sandskjellvegen 19, 9104 Kvaløya",3 990 000 kr,100 920 kr,4 090 920 kr,1 400 kr,13 126 kr per år,Leilighet,Eier (Selveier),2,63 m²,69 m²,1,2016,B - rød,"Lekker og attraktiv 3-roms fra 2016 med carport, terrasse og walk-in garderobe",-1,
"Harald Sæveruds veg 82V, 5237 Rådal",3 500 000 kr,100 170 kr,3 600 170 kr,2 000 kr,9 392 kr per år,Leilighet,Eier (Selveier),2,73 m²,78 m²,2,2005,E - mørkegrønn,Råstølen - Flott 3-roms eierleilighet med solrik veranda og fast parkeringsplass. Like ved Bybanen.,-1,
"Hønsveien 92, 1384 Asker",5 700 000 kr,-1,-1,-1,-1,74 - 84 m²,2,Leilighet,Eier (Selveier),-1,-1,-1,-1,"Landås Pluss, trinn 1 - nye leiligheter på Landåsjordet rett ved Asker sentrum. Byggingen er i gang.",Selvaag Bolig AS,-1
"Heggdalsringen 65, 7049 Trondheim",3 150 000 kr,79 920 kr,3 229 920 kr,1 580 kr,8 400 kr per år,Leilighet,Eier (Selveier),1,40 m²,40 m²,4,2019,B - mørkegrønn,Pen og moderne 2- roms med attraktiv beliggenhet i 4. etg| Fantastiske sol- og utsiktsforhold| Parkering| TG 0 på alt,EiendomsMegler 1 avd. Trondheim Nord Øst/Lade,
"Kristoffer Robins vei 52, 0978 Oslo",3 890 000 kr,221 000 kr,8 482 kr,4 119 482 kr,5 059 kr,Leilighet,Andel,3,85 m²,93 m²,4,1968,-1,Lekker og strøken 4-roms topp- og endeleilighet ~ fyring inkl ~ Barnevennlig ~ Parkeringsplass,-1,
"SKIPARVIKLIA 11, 5221 Nesttun",5 500 000 kr,24 000 kr,5 524 000 kr,2 500 kr,-1,Leilighet,Eier (Selveier),2,69 m²,72 m²,3,2021,A,Ny Leilighet ved Nordåsvannet med solrik sydvest beliggenhet,-1,
"Bjørnsons gate 28 B, 5059 Bergen",890 000 kr,549 927 kr,12 744 kr,1 452 671 kr,4 343 kr,Leilighet,Aksje,18 m²,18 m²,4,1933,477 m² (eiet),-1,"Kronstad - Lekker, nyoppusset studioleilighet. Rett ved HVL, butikk og Bybanen.",-1,
"Nygårdsgaten 68, 5008 Bergen",3 190 000 kr,8 032 kr,3 198 032 kr,2 471 kr,-1,Leilighet,Andel,2,42 m²,45 m²,5,1890,-1,"Rålekker toppleilighet med egen hems. Fasade (2014), taktekking (2018) og innvendige kvaliteter oppgradert (2019)",PrivatMegleren Vikebø & Jørgensen,-1
"Dag Hammarskjölds vei 55, 5144 Fyllingsdalen",2 550 000 kr,444 207 kr,8 032 kr,3 002 239 kr,5 230 kr,Leilighet,Andel,2,67 m²,70 m²,4,1966,G - rød,"Flott 3-roms toppleilighet med egen garasje- vestvendt balkong på 12,8 m² - Ingen dok.avgift eller forkjøpsrett",Nordvik Bergen,
"Grønnegata 7, 0350 Oslo",4 800 000 kr,93 880 kr,131 962 kr,5 025 842 kr,2 715 kr,Leilighet,Eier (Selveier),1,43 m²,43 m²,6,1975,E - rød,"HOMANSBYEN - Tiltalende 2-roms selveierleilighet - Solrik balkong - Garasjeplass - Heis - Sentral, men rolig beliggenhet",Nordvik Bygdøy Allé,
"Trollringen 96C, 9016 Tromsø",4 070 000 kr,73 401 kr,110 320 kr,4 253 721 kr,5 019 kr,Leilighet,Eier (Selveier),2,72 m²,76 m²,3,1995,-1,Stilfull og moderne 3-roms toppetasje med garasje i et av Tromsøs mest populære områder.,GARANTI Eiendomsmegling Tromsø,
"Laboratorieveien 10, 3077 Sande i Vestfold",4 150 000 kr,11 996 kr,105 440 kr,4 267 436 kr,2 061 kr,Leilighet,Eier (Selveier),2,64 m²,67 m²,3,2010,D - mørkegrønn,Meget pen hjørneleilighet med flott sjøutsikt|2 Balkonger|Solrikt|2 soverom|God intern beliggenhet|Garasje,EiendomsMegler 1 Drammen,
"Storestraumen 220, 5212 Søfteland",2 090 000 kr,2 769 kr,63 842 kr,2 156 611 kr,1 431 kr,Leilighet,Eier (Selveier),1,40 m²,45 m²,1,2015,D - mørkegrønn,Søfteland | Moderne 2-roms leilighet- parkering i garasje - populær beliggenhet i Storestraumen - endeleilighet,PrivatMegleren Vikøyr & Brandt,-1
"Bjørkelivegen 11A, 4708 Vennesla",1 995 000 kr,58 312 kr,2 053 312 kr,600 kr,10 027 kr per år,Leilighet,Eier (Selveier),2,63 m²,68 m²,1,2014,-1,Vennesla/Vikeland - Flott 3-roms endeleilighet - solrikt uteområde - Carport - Barnevennlig,-1,-1
"Schultz gate 8, 7013 Trondheim",3 190 000 kr,21 472 kr,81 440 kr,3 292 912 kr,2 206 kr,Leilighet,Eier (Selveier),1,36 m²,36 m²,2,1902,F - rød,Pen & sjarmerende 2-roms selveier i hjertet av sentrum | Kjøkken & bad (2007) TG1 | Balkong & takterrasse | Heis!,EiendomsMegler 1 avd. Trondheim Sentrum,
"Vetlandsveien 61A, 0685 Oslo",3 590 000 kr,30 900 kr,15 526 kr,3 636 426 kr,3 597 kr,Leilighet,Andel,1,56 m²,56 m²,4,1959,G - mørkegrønn,"Lys og moderne 2-roms med solrik, vestvendt balkong. Kort vei til alt! V.vann og fyring inkl.",Aktiv Lørenskog,-1
"Julianus Holms veg 58, 7041 Trondheim",2 990 000 kr,75 920 kr,3 065 920 kr,1 755 kr,5 500 kr per år,Leilighet,Eier (Selveier),1,45 m²,49 m²,3,2016,B - mørkegrønn,Lekker & moderne 2-roms selveier i 3.etg | Byggeår 2016 | Kjøkken & bad TG0 | Balkong | Heis | Lave felleskost | Bod,EiendomsMegler 1 avd. Trondheim Sentrum,
"Rådhusvegen 31, 7224 Melhus",2 790 000 kr,300 000 kr,3 090 000 kr,5 979 kr,-1,Leilighet,Andel,2,65 m²,69 m²,2,2003,D - rød,MELHUS SENTRUM - Flott 3-roms leilighet med gangavstand til alle tilbud i sentrum. Vesentlig oppusset. Bl.a nytt bad,EiendomsMegler 1 avd. Melhus,-1
"Uelands gate 38, 0457 Oslo",7 700 000 kr,248 082 kr,8 060 kr,7 956 142 kr,5 950 kr,Leilighet,Andel,2,101 m²,101 m²,3,1927,G - oransje,Delikat og gjennomgående toppleilighet o/ to plan med vestvendt balkong og peis - Sentral beliggenhet,PrivatMegleren Allé,
"Ødegårds vei - Hus CDE - Leilighetsnr. E063, 1470 Lørenskog",3 500 000 kr,-1,-1,-1,-1,38 m²,39 m²,1,2,Leilighet,Eier (Selveier),1,-1,Attraktiv og sentral 2-roms selveier med moderne standard og vestvendt balkong på ca. 7 m². Heis. Fells takterrasse.,PrivatMegleren Soria Moria,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Hellaveien 29F, 2013 Skjetten",3 250 000 kr,55 000 kr,8 010 kr,3 313 010 kr,4 156 kr,Leilighet,Andel,3,77 m²,77 m²,2,1961,F - rød,Lys og tiltalende 4-roms med populær beliggenhet! Solrik & stor balkong på 16 m2. Meget pent kjøkken. 3 soverom.,EIE eiendomsmegling Lillestrøm,
"Olav Trygvasons vei 6A, 4633 Kristiansand S",1 850 000 kr,554 165 kr,15 353 kr,2 419 518 kr,6 792 kr,Leilighet,Andel,2,75 m²,98 m²,4,1966,G - rød,Flott 3- roms toppleilighet med innglasset balkong og god standard I Nydelig fjordutsikt I Bynær beliggenhet,-1,-1
"Kalbakkveien 5C, 0953 Oslo",3 480 000 kr,139 000 kr,15 554 kr,3 634 554 kr,3 981 kr,Leilighet,Andel,2,64 m²,75 m²,1,1955,E - lysegrønn,"Innflytningsklar 3 roms i høy 1. etasje. 9 kvm innglasset balkong. Fyring inkl. Kort vei til t-bane, buss og butikker.",-1,
"Bevervegen 20, 4707 Vennesla",1 790 000 kr,52 622 kr,1 842 622 kr,1 400 kr,7 650 kr per år,Leilighet,Eier (Selveier),2,63 m²,66 m²,3,2009,-1,Heptekjerr | Smakfull 3-roms toppleilighet | Vestvendt balkong med kveldssol | Fast p-plass og sportsbod,-1,
"Anne Ekrens veg 5, 7080 Heimdal",2 790 000 kr,70 920 kr,2 860 920 kr,1 896 kr,9 204 kr per år,Leilighet,Eier (Selveier),1,44 m²,44 m²,1,2020,C - mørkegrønn,Strøken og moderne 2-roms fra 2020 i Heimdal Atrium | Fin beliggenhet | Parkeringsplass i oppvarmet p-kjeller | Heis,EiendomsMegler 1 avd. Trondheim Syd/Heimdal,
"Hesselbergs gate 8 C, 0555 Oslo",4 000 000 kr,259 032 kr,8 032 kr,4 267 064 kr,3 855 kr,Leilighet,Andel,1,50 m²,50 m²,4,1898,G - rød,Innbydende 2-roms toppleilighet i indre gård. Meget stille & rolig beliggenhet. Flott bakgård - ingen dok.avgift,Aktiv Grünerløkka,
"Birch-Reichenwalds gate 27 B, 0483 Oslo",4 700 000 kr,91 751 kr,15 981 kr,4 807 732 kr,3 742 kr,Leilighet,Andel,1,58 m²,58 m²,5,1953,F - lysegrønn,"Moderne, lys og gjennomgående 2(3)-roms topp- og endeleilighet. Balkong på 6m². 5. etasje. Fantastisk utsikt!",Aktiv Grünerløkka,
"Rosenlundgata 6 A, 0474 Oslo",3 700 000 kr,69 599 kr,19 520 kr,3 789 119 kr,2 907 kr,Leilighet,Aksje,1,43 m²,43 m²,1,1932,D - rød,Attraktiv og lys 2-roms med åpen stue- og kjøkkenløsning. Sentral beliggenhet. Perfekt førsteganskjøp. Varmtvann inkl.,Aktiv Grünerløkka,
"Ødegårds vei 20, 1470 Lørenskog",6 450 000 kr,-1,-1,-1,-1,82 m²,84 m²,3,4,7.,Leilighet,Eier (Selveier),-1,"Snølia - Ny 4-r. To bad, vestvendt balkong. Solrikt og usjenert. Heis, p-plass.",Selvaag Bolig AS,-1
"Zetlitz' gate 10, 5006 Bergen",3 190 000 kr,91 292 kr,3 281 292 kr,1 040 kr,9 362 kr per år,Leilighet,Eier (Selveier),1,45 m²,45 m²,4,1910,G - rød,Lekker toppleilighet oppusset i nyere tid. Gulvareal på 54 kvm. Gangavstand til studieinstitusjoner og byens fasiliteter,PrivatMegleren Vikebø & Jørgensen,
"Skagetjernvegen 9, 5258 Blomsterdalen",3 290 000 kr,93 792 kr,3 383 792 kr,1 857 kr,14 800 kr per år,Leilighet,Eier (Selveier),3,76 m²,79 m²,1,2012,D - rød,Lys og attraktiv 4-roms leilighet med solrik uteplass og parkering i garasje. Lekeplass like ved.,PrivatMegleren Vikebø & Jørgensen,
"Boganesveien 1E, 4020 Stavanger",3 090 000 kr,361 531 kr,8 454 kr,3 459 985 kr,3 122 kr,Leilighet,Andel,3,88 m²,88 m²,1,1986,F - rød,Flott og modernisert leilighet med 3 soverom og parkering m/ el-bil lader. Solrik og skjermet hage. Egen inngang.,EiendomsMegler 1 Mariero,
"Strømshauggata 2D, 3300 Hokksund",2 890 000 kr,73 670 kr,2 963 670 kr,1 000 kr,2 030 kr per år,Leilighet,Eier (Selveier),2,70 m²,74 m²,2,2004,G - rød,Nymalt og innbydende 3-roms eierleilighet- svært sentral beliggenhet - garasje - hyggelig balkong,EiendomsMegler 1 Nedre Eiker,
"Elveveien 10 B, 8009 Bodø",3 700 000 kr,93 670 kr,3 793 670 kr,1 217 kr,12 990 kr per år,Leilighet,Eier (Selveier),3,88 m²,93 m²,3,1958,G - oransje,Innbydende og stilren 4-roms toppleilighet med beliggenhet i populære Rønvika!,-1,-1
"Kristian Bakkens veg 15 A, 2316 Hamar",1 850 000 kr,330 000 kr,15 554 kr,2 195 554 kr,4 524 kr,Leilighet,Andel,1,55 m²,71 m²,3,1973,D - lysegrønn,"Lys og trivelig 2-roms i 3.etasje med sydvestvendt innglasset balkong, heis og garasje. A-konto fyring inkl.",-1,
"Villaveien 20A, 1385 Asker",6 750 000 kr,170 092 kr,6 920 092 kr,5 102 kr,-1,Leilighet,Eier (Selveier),3,124 m²,140 m²,2,1966,D - mørkegrønn,"Rålekker rekkehusleil. på to plan fra 2017| God takhøyde | Vestvendt terrasse | Privat hage | 3 sov, 2 bad | 2 p-plasser",-1,
"Nordre Hallsetveg 88F, 7023 Trondheim",2 690 000 kr,163 629 kr,5 432 kr,2 859 061 kr,4 295 kr,Leilighet,Andel,2,63 m²,63 m²,1,1955,G - oransje,"Trivelig 3-roms leilighet i en høy 1.etg med herlig vestvendt balkong, pent kjøkken og vedovn. Rolig, men sentralt.",Proaktiv Trondheim,-1
