Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Boligtype,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Faciliteter,Beskrivelse,Eiendomsmegler
"Hauger skolevei 50, 1351 Rud",3 300 000 kr,29 076 kr,84 569 kr,3 413 645 kr,1 664 kr,Leilighet,Eier (Selveier),1,34 m²,34 m²,3,2006,C - rød,,"Lys, moderne og meget arealeffektiv 2-roms selveier med overbygget balkong *Attraktivt område *Felles takterrasse *Heis",Krogsveen avd. Bekkestua
"Biskop Njåls gate 30B, 4010 Stavanger",2 850 000 kr,82 792 kr,2 932 792 kr,1 960 kr,-1,Leilighet,Eier (Selveier),1,62 m²,63 m²,1,1988,E - oransje,,"Romslig 2-roms hjørneleilighet med garasjeplass og solrik, privat terrasse. Egen inngang og flott, felles hage.",PrivatMegleren Haferkamp & Partnere
"Parkvegen Panorama, 7500 Stjørdal",5 700 000 kr,-1,-1,-1,-1,86 - 118 m²,2,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,Parkvegen Panorama | Splitter nye leiligheter midt i Stjørdal sentrum med VIP-plassering til spektakulær fjordutsikt,"Heimdal Eiendomsmegling AS, avd Stjørdal"
"Gamle Bjørntvedtveg 11D, 3734 Skien",1 790 000 kr,54 392 kr,1 844 392 kr,2 100 kr,10 201 kr per år,Leilighet,Eier (Selveier),2,68 m²,72 m²,2,1994,E - rød,,Lettstelt 3-roms selveierleilighet med god planløsning. Skjermet og trafikkstille beliggenhet med vestvendt balkong.,Nordvik Skien & Porsgrunn
"Ekreskogen 30D, 2390 Moelv",2 450 000 kr,62 622 kr,2 512 622 kr,1 kr,17 170 kr per år,Leilighet,Eier (Selveier),3,70 m²,70 m²,1,1992,F - oransje,,Pen selveierleilighet på hovedplan i 4-mannsbolig - Nytt kjøkken i 2016 - Garasjeplass - 3 soverom,EiendomsMegler 1 - Moelv
"Tolleivhago 18, 3570 Ål",3 850 000 kr,-1,-1,-1,-1,92 - 100 m²,3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,Prosjekterte kvalitetsleiligheter for folk flest - 4-roms med innbydende utsikt og gode solforhold,Privatmegleren Herleiksplass & Partnere
"Herman Wildenveys gate 22B, 3292 Stavern",1 890 000 kr,445 196 kr,7 982 kr,2 343 178 kr,4 588 kr,Leilighet,Andel,2,67 m²,67 m²,2,1968,E - rød,,Tiltalende og lettstelt 3-roms andelsleilighet i rolig område - nyere bad og oppusset innvendig - koselig balkong,Leinæs & Partners
"Filerveien 9, 0684 Oslo",3 900 000 kr,35 000 kr,15 554 kr,3 950 554 kr,4 037 kr,Leilighet,Andel,2,64 m²,74 m²,2,1958,D - lysegrønn,-1,"Pen 3-roms med god standard og stor solrik balkong. Kort vei til butikk, skole, marka og off.kommunikajson.",-1
"Karolinerveien 3A, 7021 Trondheim",1 850 000 kr,15 204 kr,13 054 kr,1 878 258 kr,2 574 kr,Leilighet,Andel,1,32 m²,32 m²,2,1967,E - rød,,PEN 2-R MED ETTERSPURT BELIGGENHET - Gjennomgående fin standard - Perfekt for førstegangskjøpere og studenter,Meglerhuset Nylander avd Søndre gt
"Mølleveien 67, 3360 Geithus",3 490 000 kr,-1,-1,-1,-1,87 - 138 m²,2 - 3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,NESTEGÅRDEN HAGE - 10 EKSKLUSIVE SELVEIERLEILIGHETER MED LITT MER.......,DNB Eiendom AS
"Fjellveien 43 B, 8011 Bodø",3 570 000 kr,90 420 kr,3 660 420 kr,8 410 kr per år,-1,Leilighet,Eier (Selveier),2,69 m²,74 m²,1,2003,D - rød,,Romslig 3-roms selveierleilighet i horisontaldelt tomannsbolig med parkering i carport - Solrik fellesterrasse,-1
"Sandsliåsen 45, 5254 Sandsli",3 290 000 kr,83 420 kr,3 373 420 kr,1 981 kr,10 468 kr per år,Leilighet,Eier (Selveier),1,62 m²,67 m²,-1,2016,C - mørkegrønn,,"Lekker 2-roms leilighet fra 2016 med balkong, kontor, heis i bygget og nærhet til bybane. Fast parkeringplass i garasje!",EiendomsMegler 1 Fana
"Deppeldiket 34, 8050 Tverlandet",2 510 000 kr,262 335 kr,960 kr,2 773 295 kr,4 590 kr,Leilighet,Andel,2,70 m²,76 m²,1,1984,F - oransje,-1,Romslig og praktisk 3 - roms leilighet på Tverlandet i populært og familievennlig område!,-1
"Dues vei 38, 4023 Stavanger",2 590 000 kr,168 051 kr,77 192 kr,2 835 243 kr,3 399 kr,Leilighet,Eier (Selveier),1,51 m²,63 m²,2,1971,-1,,"Lys og innbydende leilighet med solrik, innglasset balkong i attraktive og sentrale omgivelser.",Proaktiv Stavanger
"Meierikvartalet Salgstrinn 2, 2001 Lillestrøm",5 550 000 kr,-1,-1,-1,-1,66 - 126 m²,2 - 3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,Meierikvartalet - Tårnhus 2 med 19 etasjer - Salgssuksess med 94 % salg. Fortsatt noen få flotte leiligheter igjen!,DNB Eiendom AS
"Furulyvegen 7A, 2830 Raufoss",2 150 000 kr,65 292 kr,2 215 292 kr,600 kr,18 984 kr per år,Leilighet,Eier (Selveier),2,65 m²,68 m²,1,2008,C - rød,,"Lettstelt selveier leilighet med 2 sov, trappefri adkomst, garasjeplass og sentrumsnær beliggenhet!",-1
"Odenseveien 11, 7020 Trondheim",2 490 000 kr,118 427 kr,8 454 kr,2 616 881 kr,3 183 kr,Leilighet,Andel,1,54 m²,54 m²,1,1960,E - oransje,,Lys og tiltalende 2-roms endeleilighet på 54 m² | Sørvendt balkong | Bymarka like ved | Ingen dokumentavgift!,EiendomsMegler 1 avd. Trondheim Vest/Byåsen
"Skøyenåsveien 13, 0686 Oslo",3 290 000 kr,41 000 kr,15 526 kr,3 346 526 kr,2 414 kr,Leilighet,Andel,44 m²,44 m²,1,1954,G - lysegrønn,-1,,Meget pen og romslig 1 roms hjørneleilighet med stor alkove - Flott balkong på hele 9 m² med utsikt og gode solforhold,Aktiv Østensjø/Lambertseter
"Gammelvegen 2, 7353 Børsa",1 690 000 kr,50 320 kr,1 740 320 kr,2 000 kr,9 191 kr per år,Leilighet,Eier (Selveier),1,35 m²,35 m²,2,2009,C - rød,,Moderne arealeffektiv 2-roms selveier i Børsa sentrum | Sentral beliggenhet | Solfylt fellesterrasse | Heis,Heimdal Eiendomsmegling AS avd Heimdal
"Skarmyrakvartalet, 1530 Moss",3 328 105 kr,-1,-1,-1,-1,47 - 130 m²,1 - 3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,SKARMYRAKVARTALET - Prosjekterte selveierleiligheter - God standard - Kveldssol - Heis - Tilvalgsmuligheter - Garasje*,Krogsveen avd. Moss
"Engeveien 8, 5096 Bergen",2 350 000 kr,67 320 kr,2 417 320 kr,438 kr,6 426 kr per år,Leilighet,Eier (Selveier),1,34 m²,34 m²,4,1934,-1,-1,LANDÅS - Lys og arealeffektiv toppleilighet med god standard. Sentral og attraktiv beliggenhet nær Haukeland.,-1
"Morkvegen 34, 2080 Eidsvoll",2 810 000 kr,26 297 kr,82 442 kr,2 918 739 kr,5 363 kr,Leilighet,Eier (Selveier),2,89 m²,89 m²,1,2010,D - mørkegrønn,,"Stor 3-roms selveier med to balkonger - seniorbolig 50+ og fantastiske fasiliteter i sameiet som spa, fellesstue, m.m.",Aktiv Jessheim
"Balsfjordvinden 6A, 9006 Tromsø",1 950 000 kr,1 047 241 kr,5 060 kr,3 002 301 kr,8 394 kr,Leilighet,Andel,1,50 m²,50 m²,3,2004,-1,,"Meget flott 2-roms toppetasje med garasje, balkong og sentral beliggenhet på attraktive Bjerkaker!",GARANTI Eiendomsmegling Tromsø
"Klosterhagen 38, 3732 Skien",2 995 000 kr,2 845 000 kr,1 235 kr,5 841 235 kr,7 340 kr,Leilighet,Andel,2,106 m²,112 m²,5,2019,-1,,Flott leilighet i 5.etg. med 2 solrike balkonger med super utsikt - 2 bad og eget vaskerom - sterkt nedsatt pris,EiendomsMegler 1 Telemark - Skien
"Terje Vigens vei 39, 4083 Hundvåg",1 890 000 kr,149 903 kr,960 kr,2 040 863 kr,4 083 kr,Leilighet,Andel,1,49 m²,54 m²,2,1980,F - rød,,Lettstelt leilighet i etablert boligområde - fast garasjeplass i lukket anlegg.,EiendomsMegler 1 Hundvåg
"Øverbyvegen 4, 2834 Raufoss",3 990 000 kr,108 772 kr,4 098 772 kr,3 930 kr,8 219 kr per år,Leilighet,Eier (Selveier),2,99 m²,102 m²,1,2020,C - mørkegrønn,-1,"Raufoss - NY PRIS! - Sentral 3-roms leil. fra 2020 m/ bla. 2 bad, åpen stue-/kjøkkenløsning, stor uteplass og p-kjeller",-1
"Gamleveien 4, 4380 Hauge i Dalane",2 890 000 kr,-1,-1,-1,-1,85 m²,2,2,Leilighet,Eier (Selveier),-1,-1,-1,-1,"4 moderne leiligheter i Hauge sentrum for salg, 1 allerede solgt",-1
"Nygårdsgaten 55, 5008 Bergen",2 990 000 kr,633 229 kr,5 860 kr,3 629 089 kr,6 814 kr,Leilighet,Andel,2,56 m²,59 m²,4,2005,-1,,SENTRUM | Eksklusiv 3-roms leilighet med god standard og egen balkong. Nærhet til bybanestopp og studieinstitusjoner.,-1
"Rodeløkka 3, 1778 Halden",950 000 kr,516 411 kr,1 466 411 kr,5 098 kr,-1,Leilighet,Andel,49 m²,69 m²,4,1972,D - rød,-1,-1,2-roms leilighet -sentralt - 4. etasje - heis - innglasset balkong,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Valen 3, 4070 Randaberg",1 190 000 kr,2 542 500 kr,960 kr,3 733 460 kr,5 073 kr,Leilighet,Andel,2,76 m²,80 m²,3,2018,C - mørkegrønn,,"Moderne, strøken og oppgradert 3-romsleilighet, innglasset og fullisolert balkong, parkering i garasjeanlegg",EiendomsMegler 1 Randaberg
"Seljestad Havn B, 9300 Finnsnes",4 700 000 kr,-1,-1,-1,-1,82 - 101 m²,2 - 3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,"Seljestad Havn B | Byggingen er i gang! Utsiktsleiligheter med flotte solforhold fra store, innglassede balkonger",-1
"Ødegårds vei 10, 1470 Lørenskog",4 490 000 kr,-1,-1,-1,-1,55 m²,56 m²,2,3,3.,1,Leilighet,-1,-1,NY PRIS! SNØLIA- Attraktiv 3-roms med god standard. Garasjeplass. Vestvendt balkong på ca. 6.6 kvm . OT: 07.09.2021,Røisland & Co Eiendomsmegling AS
"Hjortveien 15C, 4373 Egersund",1 900 000 kr,48 670 kr,1 948 670 kr,13 323 kr per år,-1,Leilighet,Eier (Selveier),1,62 m²,77 m²,2,2012,B - rød,,*NY PRIS* Velholdt fin leilighet!,EiendomsMegler 1 Egersund
3803 Bø i Telemark,960 000 kr,-1,-1,-1,-1,79 m²,3,2,Leilighet,Andel,-1,-1,-1,-1,"Flotte, moderne firemannsboliger på idylliske Nordbøåsen i Bø til gunstige priser. 6 av 12 solgt. Byggingen er i gang!",ITV Bolig AS
"Kongens gate 15A, leil 401, 4610 Kristiansand S",3 590 000 kr,90 920 kr,3 680 920 kr,4 109 kr,-1,Leilighet,Eier (Selveier),1,53 m²,61 m²,4,2,-1,,St. Josephs | Stor 2-roms selveierleilighet | Fransk balkong | Flotte fellesrealer og felles takterrasse,EiendomsMegler 1 Kristiansand
"Bjørnebærsvingen 18 A - D, 4824 Bjorbekk",2 195 000 kr,-1,-1,-1,-1,63 m²,1 - 2,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,Prosjektert 4-mannsbolig i Nidelvåsen. Vi lanserer nye 4 leiligheter. Leiligheter i 1. etg.er husbankfinansiert!,-1
"Gyldenløves gate 37F, 4614 Kristiansand S",2 950 000 kr,81 622 kr,3 031 622 kr,400 kr,-1,Leilighet,Eier (Selveier),3,49 m²,49 m²,1,2020,-1,,"Posebyen | Nyere, smakfull 4-roms selveierleilighet over to plan | Sjarmerende, skjermet bakgård | Midt i smørøyet",-1
"Hornnesvegen 18A, 6809 Førde",2 250 000 kr,156 267 kr,5 232 kr,2 411 499 kr,4 750 kr,Leilighet,Andel,2,87 m²,96 m²,3,1976,F - oransje,-1,"Ei romsleg 3/4- roms endeleilegheit med stor, overbygd veranda og parkering i garasje.",-1
"Blakstadmarka 26, 1386 Asker",3 450 000 kr,95 270 kr,3 545 270 kr,2 849 kr,-1,Leilighet,Eier (Selveier),2,51 m²,53 m²,1,2019,D - mørkegrønn,,"Innbydende, lys 3-roms med 17 kvm terrasse - Garasje - Bal. ventilasjon/vannbåren gulvvarme - Fyring inkl. i felleskost.",EIE eiendomsmegling Asker
"Fillvågveien 33, 7240 Hitra",3 490 000 kr,88 420 kr,3 578 420 kr,840 kr,-1,Leilighet,Eier (Selveier),4,118 m²,122 m²,2,2016,D - oransje,,Endeleilighet over to plan med idyllisk beliggenhet ved sjøkanten - Båtplassleie - God standard - 4 soverom,EiendomsMegler 1 avd. Hitra/Frøya
"Hjeratunet leil. B203, 2072 Dal",2 490 000 kr,66 762 kr,2 556 762 kr,1 680 kr,-1,Leilighet,Eier (Selveier),1,48 m²,48 m²,2,2021,-1,,Salg av kontraktsposisjon. 2-roms selveier med garasjeplass på Hjeratunet - estimert overtagelse 1-15 juli 2021.,PrivatMegleren Strømmen
"Kokstadvegen 153, 5257 Kokstad",2 700 000 kr,68 842 kr,2 768 842 kr,10 900 kr per år,-1,Leilighet,Eier (Selveier),2,63 m²,68 m²,3,1989,F - rød,,Flott treroms eierleilighet på Kokstad. Fast parkering - takterrasse.,-1
"Jonas Lies vei 1, 5053 Bergen",2 990 000 kr,248 982 kr,13 460 kr,3 252 442 kr,3 400 kr,Leilighet,Aksje,2,58 m²,58 m²,3,1949,G - oransje,,Midt mellom fjell og byliv! Super 3- roms leilighet med solrik balkong og utsikt- ingen dok. avgift.,Proaktiv Småstrandgaten
"Eystein Orres gate 11, 6005 Ålesund",2 100 000 kr,53 842 kr,2 153 842 kr,1 500 kr,-1,Leilighet,Eier (Selveier),1,65 m²,65 m²,1,1959,E - gul,,2-roms selveierleilighet med sørvest-vendt balkong | Lave felleskostnader | Peis | Utsikt |,Krogsveen avd. Ålesund
"Blomhaugane 66D, 5943 Austrheim",2 200 000 kr,62 420 kr,2 262 420 kr,650 kr,-1,Leilighet,Eier (Selveier),3,96 m²,96 m²,2,2017,B - oransje,-1,Nyere toppleilighet i etablert boligfelt i Austrheim,Laastad Stavenes Advokatfellesskap
"Løkkegata 4B, 1607 Fredrikstad",2 600 000 kr,44 000 kr,15 554 kr,2 659 554 kr,3 927 kr,Leilighet,Andel,1,58 m²,58 m²,3,1952,G - mørkegrønn,-1,"Moderne og betydelig oppgradert leilighet i 3.etg | Vestvendt balkong | Gåavstand til Torvbyen, høgskole, gågate m.m",-1
"Utsiravegen 5, 7045 Trondheim",3 390 000 kr,92 820 kr,3 482 820 kr,2 046 kr,10 584 kr per år,Leilighet,Eier (Selveier),2,67 m²,67 m²,1,1947,D - mørkegrønn,,"Nyoppusset og lekker 3-roms selveier | Parkeringsplass | TG1 på bad og kjøkken | Nært ""alt"" | Lave fellesutgifter",Heimdal Eiendomsmegling AS avd Heimdal
"Filerveien 2, 0684 Oslo",3 990 000 kr,201 371 kr,8 626 kr,4 199 997 kr,4 022 kr,Leilighet,Andel,2,65 m²,75 m²,2,1962,F - rød,,Romslig 3-roms med god planløsning|Populært borettslag |Nytt bad 2021|Ingen gjenboere|Stor solrik balkong|Barnevennlig,-1
"Bakkeveien 7, 3511 Hønefoss",1 750 000 kr,-1,-1,-1,-1,61 - 100 m²,2 - 4,Leilighet,Andel,-1,-1,-1,-1,-1,"Bakkeveien Borettslag - 8 nye, moderne leiligheter med takterrasse, store solrike balkonger og hager - 50% allerede solgt!",DNB Eiendom AS
"Oldeidevegen 6, 4100 Jørpeland",2 890 000 kr,-1,-1,-1,-1,49 - 152 m²,1 - 3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,"STÅLSVINGEN MIDT I SENTRUM, MED FLOTT HAGEANLEGG, HEIS OG PARKERING - 43 LEILIGHETER, 35 SOLGT - FERDIG SOMMEREN 2022",-1
"Eplehagan, 3084 Holmestrand",3 828 000 kr,-1,-1,-1,-1,102 - 107 m²,3,Leilighet,Eier (Selveier),B - rød,-1,-1,-1,-1,Ekeberg Hage - Nye 5- roms leiligheter nær Holmestrand sentrum. Garasjeplass og barnevennlig område,Trysilhus Sørøst AS
"Rossalandtunet 5A, 4313 Sandnes",3 390 000 kr,86 092 kr,3 476 092 kr,3 489 kr,8 064 kr per år,Leilighet,Eier (Selveier),3,96 m²,97 m²,2006,E - rød,-1,,Tiltalende leilighet i populært område | 3 soverom | Stor solrik terrasse | Parkering i carport,-1
"Thor Olsens gate 8B, 0177 Oslo",4 790 000 kr,86 000 kr,123 242 kr,4 999 242 kr,3 236 kr,Leilighet,Eier (Selveier),1,54 m²,54 m²,5,1931,G - rød,,Innbydende og lys 2(3)-roms loftsleilighet - 71m² gulvareal - God standard - Store rom - Populær beliggenhet,-1
"Grefsenkollveien 12E, 0490 Oslo",9 500 000 kr,41 290 kr,239 867 kr,9 781 157 kr,4 417 kr,Leilighet,Eier (Selveier),4,112 m²,113 m²,8,1973,E - rød,,"Lekker 5-roms toppleilighet med fantastisk utsikt! Totaloppusset 2017, 4 sov, el-lader og prioritert barnehageplass.",Krogsveen avd. Grefsen
"Enerveien 8A, 1812 Askim",1 700 000 kr,333 552 kr,1 210 kr,2 034 762 kr,4 028 kr,Leilighet,Andel,1,48 m²,52 m²,2,1970,G - rød,,Lys og fin 2-roms andelsleilighet | Solrik balkong |Fin utsikt over nærområdet | Populært og barnevennlig område!,EiendomsMegler 1 Askim
"Juldagan 12 - SKIR - A1004, 9006 Tromsø",2 850 000 kr,72 290 kr,2 922 290 kr,1 505 kr,-1,Leilighet,Eier (Selveier),32 m²,36 m²,10,2021,1,-1,,Helt ny innflyttingsklar 1 -roms selveierleilighet med nydelig utsikt.,-1
"Karl Staaffs vei 7, 0665 Oslo",3 650 000 kr,217 855 kr,8 010 kr,3 875 865 kr,4 087 kr,Leilighet,Andel,2,68 m²,75 m²,4,1954,G - mørkegrønn,,"3-roms med flott intern beliggenhet - Vestvendt, innglasset balkong - Mulighet for garasje - Ingen forkjøpsrett",EIE eiendomsmegling Ensjø
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Ole Vigs gate 19A, 0366 Oslo",4 950 000 kr,27 577 kr,133 439 kr,5 111 016 kr,1 981 kr,Leilighet,Eier (Selveier),1,47 m²,47 m²,4,1917,G - rød,,"Lys, luftig og pen 2-roms selveier i klassisk gård | God takhøyde opptil 2,91m | Store vinduer | Peis | Lave felleskost.",Schala & Partners Carl Berner
"Brubakken 12, 2615 Lillehammer",3 200 000 kr,81 342 kr,3 281 342 kr,1 818 kr,11 558 kr per år,Leilighet,Eier (Selveier),2,61 m²,61 m²,4,1964,G - mørkegrønn,,"3-roms leilighet i 4.etg. midt i sentrum. Solrik balkong, nydelig utsikt, sentralvarmeanlegg og heis.",-1
"Skuleholten 1, 6856 Sogndal",4 150 000 kr,-1,-1,-1,-1,64 - 91 m²,2 - 3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,Kjørnes- 12 flotte prosjekterte leiligheter med balkong og nydelig utsikt. Gode solforhold og parkering i underetasje,PrivatMegleren Syd
"Leitesvingen 14, 4322 Sandnes",3 150 000 kr,87 492 kr,3 237 492 kr,2 736 kr,7 060 kr per år,Leilighet,Eier (Selveier),2,72 m²,76 m²,3,2011,C - mørkegrønn,-1,Ganddal - Lys tiltalende 3-roms selveierleilighet i toppetasje med stor uteplass,Verdi Eiendomsmegling Sandnes AS
"Holbergs gate 11b, 0166 Oslo",3 490 000 kr,126 000 kr,99 420 kr,3 715 420 kr,3 364 kr,Leilighet,Eier (Selveier),1,36 m²,36 m²,1892,G - rød,-1,,"BISLETT | Fresh & fin 2-roms med sentral beliggenhet ved OsloMET i skjermet bakgård. Vinduer, gulv & overflater fra 2021",EIE eiendomsmegling Frogner
"Lerum Blokk B, 6856 Sogndal",2 350 000 kr,-1,-1,-1,-1,31 - 122 m²,1 - 3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,Etter suksessen med blokk A kan du no sikre deg ein godbit i blokk B. 12 er allereie selde!,Meklarhuset Sogn As
"Granheimtunet, 1406 Ski",5 500 000 kr,-1,-1,-1,-1,80 - 89 m²,2 - 3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,"Skifabrikken - nye leiligheter under bygging. (Hus A +B) Innflytting fra sept 2021. I Ås kommune, 2 km fra Ski sentrum.",Selvaag Bolig AS
"Prestestien 48, 5118 Ulset",2 750 000 kr,540 151 kr,13 204 kr,3 303 355 kr,5 341 kr,Leilighet,Andel,2,77 m²,77 m²,1,1970,-1,-1,"Lekker 3-roms med attraktiv beliggenhet. Nær skole, buss og butikker. Varmtvann og sentralvarme inkl. i f.utg.",-1
"Vågavegen 248, 6630 Tingvoll",4 190 000 kr,27 004 kr per år,-1,-1,-1,Leilighet,Eier (Selveier),8,514 m²,597 m²,3,1983,E - oransje,,"PÅMELDINGSVISNING - 4 leiligheter med god standard. Sentral beliggenhet, stor tomt og flott utsikt!",-1
"Strandgaten 210, 5004 Bergen",2 890 000 kr,58 329 kr,18 781 kr,2 967 110 kr,2 750 kr,Leilighet,Aksje,1,38 m²,38 m²,4,1960,E - rød,,"Det er langt bedre å eie enn å leie! Optimal planløsning, balkong med mye sol. Heis i bygget og ingen dok. avgift.",Proaktiv Småstrandgaten
"Rosenvinges vei 16, 1523 Moss",3 150 000 kr,90 320 kr,3 240 320 kr,3 062 kr,5 031 kr per år,Leilighet,Eier (Selveier),1,59 m²,67 m²,1,2018,D - mørkegrønn,,"Rosenvinge Park - Strøken leilighet, fra 2018, med høy standard og garasjeplass. Påkostet med tilvalg for kr. 250.000,-",PrivatMegleren Moss
"Dronningåsen 73, H0402, 4032 Stavanger",5 130 000 kr,139 792 kr,5 269 792 kr,2 488 kr,8 313 kr per år,Leilighet,Eier (Selveier),2,79 m²,89 m²,4,2003,E - mørkegrønn,,"Topp -og endeleilighet m/formidabel utsikt & solforhold. Oppusset overflater, hagestue, parkering m/ladestasjon.",Aktiv Stavanger
"Gina Krogs vei 5 b, 1153 Oslo",3 950 000 kr,379 000 kr,19 520 kr,4 348 520 kr,5 591 kr,Leilighet,Aksje,2,70 m²,70 m²,2,1954,E - mørkegrønn,,Flott beliggende og svært romslig (70 kvm) 3-roms leilighet i attraktivt boligområde | Varmtvann og fyring inkludert,PrivatMegleren Panorama
"Valhallveien 3A, 3518 Hønefoss",2 750 000 kr,196 150 kr,7 185 kr,2 953 335 kr,4 230 kr,Leilighet,Andel,2,84 m²,88 m²,1,1976,E - rød,,Gjennomgående og delikat leilighet - garasje i parkeringskjeller og gode oppbevaringsmuligheter - innflyttningsklart,EiendomsMegler 1 - Ringerike
"Troldhaugvegen 56, 5232 Paradis",4 840 000 kr,122 342 kr,4 962 342 kr,2 657 kr,9 770 kr per år,Leilighet,Eier (Selveier),2,75 m²,78 m²,2,2016,D - mørkegrønn,,Moderne og flott 3-roms endeleilighet fra 2016. Sørvestvendt balkong på 18 kvm. Garasjeplass og heis!,-1
"Almemoen 61C, 3516 Hønefoss",2 550 000 kr,17 899 kr,65 570 kr,2 633 469 kr,1 350 kr,Leilighet,Eier (Selveier),2,48 m²,50 m²,2,2019,C - mørkegrønn,,Moderne og lettstelt 3-roms leilighet fra 2019 med attraktiv beliggenhet. Egen P-plass og 2 terrasser.,EiendomsMegler 1 - Ringerike
"Edelløv 601, 1388 Borgen",8 290 000 kr,-1,-1,-1,-1,127 m²,129 m²,4,6,3,Leilighet,Eier (Selveier),-1,-1,"Edelløv, nær Asker sentrum - Nytt enderekkehus med hage, takterrasse og p-plass",Sem & Johnsen
"Lunden 20, 0598 Oslo",4 200 000 kr,121 570 kr,4 321 570 kr,2 637 kr,-1,Leilighet,Eier (Selveier),1,48 m²,52 m²,5,2003,E - mørkegrønn,-1,2-roms selveier med garasjeplass I heis I stor solrik terrasse I Fyring og varmtvann inkludert I Perfekt førstegangskjøp,PrivatMegleren Panorama
"Byhagen, 9405 Harstad",1 175 000 kr,-1,-1,-1,-1,38 - 129 m²,1 - 3,Leilighet,Andel,-1,-1,-1,-1,-1,"BYHAGEN PÅ LARSNESET - Utsikten, havet og hagen. Salget har startet på 41 unike leiligheter på bryggekanten. 20 solgt!",GARANTI Eiendomsmegling Harstad
"Heggeveien 8 D, 1481 Hagan",2 300 000 kr,8 658 kr,2 308 658 kr,2 480 kr,-1,Leilighet,Andel,1,44 m²,44 m²,-1,1999,E - rød,,Lys og arealeffektiv 2-roms leilighet med uteplass på 21 m² og carport - Perfekt førstegangskjøp!,EiendomsMegler 1 Lørenskog
"Fuglsetvegen 15, 6415 Molde",1 550 000 kr,282 134 kr,40 092 kr,1 872 226 kr,3 275 kr,Leilighet,Eier (Selveier),1,36 m²,36 m²,3,1967,G - rød,,Moderne 2-roms sentrumsleilighet i tilbaketrukket gate. Pusset opp i 2005/2006. Egen hageterrasse og parkering.,-1
"Døvlehavna 18, 3160 Stokke",2 190 000 kr,231 807 kr,8 010 kr,2 429 817 kr,5 292 kr,Leilighet,Andel,2,78 m²,78 m²,1,1989,F - oransje,-1,"*BUD INNKOMMET* Lettstelt rekkehus med alt på én flate for deg over 50 år. Kjøkken fra 2021, garasje, hageflekk",EIE eiendomsmegling Stokke
"Gartnerkvartalet hus 8, Villvin boligsameie Lørenvangen 23 B, leil. 8606, 0585 Oslo",6 200 000 kr,-1,-1,-1,-1,55 m²,57 m²,2,3,Leilighet,Eier (Selveier),H0601,D - mørkegrønn,-1,Løren - Helt ny 3-romsleilighet med sydvendt balkong mot midtparken *overtagelsesklar *lave omkostninger *toppetasje,OBOS BBL
"Tordenskjolds gate 5, 2821 Gjøvik",6 000 000 kr,159 022 kr,6 159 022 kr,4 871 kr,13 000 kr per år,Leilighet,Eier (Selveier),3,124 m²,130 m²,2,2017,C - mørkegrønn,-1,"Gjennomgående, lys og lekker leilighet - 3 soverom, 2 bad, balkong, terrasse - heis og garasje - felles takterrasse",-1
"Doppesvingen 32, 3611 Kongsberg",2 550 000 kr,65 170 kr,2 615 170 kr,1 342 kr,6 908 kr per år,Leilighet,Eier (Selveier),2,70 m²,73 m²,2,2001,-1,-1,"Tiltalende endeleilighet med attraktiv beliggenhet på solsiden i Kongsberg. Nyere bad, koselig uteplass og carport.",Eiendomsmegler 1 Kongsberg
"Askeladdvegen 19 D, 7056 Ranheim",4 050 000 kr,109 492 kr,4 159 492 kr,458 kr,17 804 kr per år,Leilighet,Eier (Selveier),3,87 m²,87 m²,2,1995,E - oransje,,"Romslig leilighet i 4-mannsbolig i 2. etg - Rolig og familievennlig - Kjøkken, bad og el-anlegg fra 2014",-1
"Smalgangen 25, 0188 Oslo",3 900 000 kr,98 842 kr,3 998 842 kr,3 412 kr,-1,Leilighet,Eier (Selveier),1,56 m²,56 m²,3,1990,D - lysegrønn,,Romslig og lys 2-R Selveierleilighet | Sentralt |Balkong | Inkl. Fjernvarme/varmtvann og strøm (a-konto) | *Garasjeleie,-1
"Soliehagen 29, 1533 Moss",3 800 000 kr,96 342 kr,3 896 342 kr,2 107 kr,-1,Leilighet,Eier (Selveier),2,89 m²,94 m²,1,2017,C - rød,,Flott 3-roms leilighet sentralt i Moss| Romslig terrasse på ca 56 kvm med gode solforhold| Steinkast unna Vansjø|garasje,-1
